ListingId,Strategy
126133747,零逾期  
126133785,自动1  
126134083,零逾期  
126134213,零逾期  
126134321,女标   
126134457,零逾期  
126134534,自动1  
126134540,女标   
126134561,零逾期  
126134769,零逾期  
126135088,零逾期  
126135242,低逾期 
126135313,自动1  
126135320,女标   
126135401,零逾期  
126135406,零逾期  
126135403,自动1  
126135412,自动1  
126135444,零逾期  
126135593,自动1  
126135626,零逾期  
126135633,零逾期  
126135656,自动1  
126135964,女标   
126136003,自动1  
126135996,自动1  
126136032,女标   
126136180,零逾期  
126136192,自动1  
126136348,自动1  
126136409,自动1  
126136529,低逾期 
126136838,零逾期  
126137040,零逾期  
126137151,零逾期  
126137414,女标   
126137447,女标   
126137499,零逾期  
126137674,低逾期 
126137875,自动1  
126137932,零逾期  
126138127,自动1  
126138312,女标   
126138472,自动1  
126138478,零逾期  
126138622,低逾期 
126138653,自动1  
126138807,低逾期 
126138960,自动1  
126138965,零逾期  
126139020,自动1  
126139001,零逾期  
126139067,零逾期  
126139268,女标   
126139284,自动1  
126139423,女标   
126139437,零逾期  
126139509,零逾期  
126139533,自动1  
126139570,零逾期  
126139637,自动1  
126139648,零逾期  
126139646,零逾期  
126139980,零逾期  
126139987,自动1  
126140055,低逾期 
126140105,零逾期  
126140402,自动1  
126140539,零逾期  
126140606,零逾期  
126140651,自动1  
126140706,自动1  
126140740,自动1  
126140767,自动1  
126140790,零逾期  
126140810,女标   
126140872,零逾期  
126140940,零逾期  
126141046,自动1  
126141077,零逾期  
126141461,零逾期  
126141554,女标   
126141743,自动1  
126141951,自动1  
126141970,女标   
126142005,零逾期  
126142067,零逾期  
126142210,自动1  
126142206,自动1  
126142493,零逾期  
126142567,零逾期  
126142625,零逾期  
126142633,零逾期  
126142719,自动1  
126142804,自动1  
126142935,女标   
126142953,零逾期  
126143055,零逾期  
126143205,自动1  
126143261,自动1  
126143355,零逾期  
126143449,女标   
126143465,自动1  
126143517,零逾期  
126143613,自动1  
126143637,自动1  
126143735,女标   
126143813,自动1  
126143954,女标   
126144249,自动1  
126144219,自动1  
126144295,自动1  
126144532,自动1  
126144671,零逾期  
126145000,零逾期  
126145293,零逾期  
126145100,零逾期  
126145116,零逾期  
126145244,自动1  
126145448,零逾期  
126145452,女标   
126145459,自动1  
126145465,自动1  
126146094,自动1  
126146138,零逾期  
126146300,女标   
126146340,零逾期  
126146546,自动1  
126146633,低逾期 
126146657,自动1  
126146674,自动1  
126146729,自动1  
126146735,女标   
126146775,女标   
126147197,自动1  
126147343,自动1  
126147627,自动1  
126147817,低逾期 
126147842,自动1  
126148131,女标   
126148420,自动1  
126148568,低逾期 
126148556,零逾期  
126148946,零逾期  
126149066,女标   
126149110,零逾期  
126149206,零逾期  
126149573,零逾期  
126149636,零逾期  
126149702,自动1  
126149764,女标   
126150075,零逾期  
126150213,零逾期  
126150317,女标   
126150353,低逾期 
126150344,自动1  
126150946,低逾期 
126151039,自动1  
126151227,女标   
126151591,女标   
126151696,自动1  
126151945,自动1  
126151999,零逾期  
126152125,零逾期  
126152144,自动1  
126152188,零逾期  
126152225,自动1  
126152259,零逾期  
126152278,自动1  
126152646,自动1  
126152772,自动1  
126152875,自动1  
126153131,零逾期  
126153245,零逾期  
126153358,自动1  
126153396,自动1  
126153481,自动1  
126153514,零逾期  
126153837,零逾期  
126153883,零逾期  
126154058,零逾期  
126154194,自动1  
126154277,女标   
126154479,女标   
126155099,零逾期  
126155449,零逾期  
126155692,女标   
126155723,零逾期  
126155958,女标   
126156052,自动1  
126156140,零逾期  
126156155,低逾期 
126156235,女标   
126156268,零逾期  
126156475,零逾期  
126156487,自动1  
126156570,零逾期  
126156588,自动1  
126156953,零逾期  
126157041,女标   
126157203,零逾期  
126157278,女标   
126157283,女标   
126157474,零逾期  
126157594,零逾期  
126157744,自动1  
126157803,零逾期  
126157904,低逾期 
126157970,自动1  
126158016,零逾期  
126158470,零逾期  
126158480,自动1  
126158496,自动1  
126158599,零逾期  
126158882,零逾期  
126159019,女标   
126159031,女标   
126159533,自动1  
126159547,自动1  
126159596,女标   
126159664,低逾期 
126159945,零逾期  
126160079,自动1  
126160379,零逾期  
126161012,女标   
126161200,零逾期  
126161209,自动1  
126161307,零逾期  
126161369,零逾期  
126161465,女标   
126161644,自动1  
126161651,自动1  
126161716,零逾期  
126161898,零逾期  
126161951,女标   
126162111,女标   
126162183,零逾期  
126162297,自动1  
126162364,零逾期  
126162394,自动1  
126162508,低逾期 
126162622,自动1  
126162721,零逾期  
126162769,零逾期  
126163113,零逾期  
126163383,零逾期  
126163619,自动1  
126163620,女标   
126164037,低逾期 
126164485,零逾期  
126164582,女标   
126164605,自动1  
126165556,零逾期  
126165582,自动1  
126165594,自动1  
126165740,零逾期  
126165843,零逾期  
126166540,零逾期  
126166549,女标   
126166735,自动1  
126166785,女标   
126166928,自动1  
126167109,零逾期  
126167232,零逾期  
126167230,零逾期  
126167454,自动1  
126167518,零逾期  
126167573,自动1  
126167709,自动1  
126186947,自动1  
126186943,自动1  
126186987,女标   
126187053,零逾期  
126187204,女标   
126187339,自动1  
126187350,零逾期  
126187571,零逾期  
126187752,零逾期  
126187827,自动1  
126187866,零逾期  
126188789,零逾期  
126188841,自动1  
126189231,自动1  
126189451,自动1  
126189457,零逾期  
126190087,零逾期  
126190148,女标   
126190295,零逾期  
126190402,自动1  
126190525,零逾期  
126190631,自动1  
126191502,自动1  
126191511,零逾期  
126191558,零逾期  
126191649,自动1  
126191722,自动1  
126191758,零逾期  
126191810,自动1  
126191881,自动1  
126192023,自动1  
126192088,自动1  
126192138,零逾期  
126192197,自动1  
126192394,零逾期  
126192486,零逾期  
126192541,自动1  
126192702,零逾期  
126192639,零逾期  
126192705,自动1  
126192784,零逾期  
126192956,零逾期  
126192987,自动1  
126193003,自动1  
126198698,低逾期 
126204339,自动1  
126204470,自动1  
126204582,零逾期  
126204760,零逾期  
126205217,零逾期  
126205442,零逾期  
126205767,自动1  
126206674,自动1  
126206714,零逾期  
126206737,零逾期  
126206848,自动1  
126206850,自动1  
126206944,零逾期  
126207069,自动1  
126207348,零逾期  
126208373,自动1  
126208387,零逾期  
126208445,自动1  
126208461,低逾期 
126208543,女标   
126208955,自动1  
126209010,女标   
126209045,低逾期 
126209165,自动1  
126209233,自动1  
126209256,自动1  
126209301,零逾期  
126209560,女标   
126209671,零逾期  
126209680,零逾期  
126210578,自动1  
126210665,零逾期  
126210679,自动1  
126211222,低逾期 
126211844,零逾期  
126211858,女标   
126212342,自动1  
126212634,女标   
126212952,零逾期  
126212973,零逾期  
126213252,零逾期  
126213325,自动1  
126213404,自动1  
126213536,零逾期  
126213656,零逾期  
126214159,零逾期  
126214201,零逾期  
126214212,零逾期  
126214218,零逾期  
126214399,自动1  
126214618,零逾期  
126214726,女标   
126214762,零逾期  
126214951,低逾期 
126215011,女标   
126215189,零逾期  
126215252,零逾期  
126215301,零逾期  
126215430,女标   
126215560,自动1  
126215828,自动1  
126216062,自动1  
126216457,零逾期  
126216469,零逾期  
126216471,自动1  
126216473,低逾期 
126216485,自动1  
126216699,零逾期  
126216842,零逾期  
126216986,女标   
126217125,零逾期  
126217144,零逾期  
126218029,自动1  
126218127,女标   
126218219,零逾期  
126218239,自动1  
126218383,零逾期  
126218553,自动1  
126219102,零逾期  
126219321,女标   
126219445,自动1  
126219448,自动1  
126219486,自动1  
126219707,女标   
126220536,自动1  
126220587,自动1  
126220604,零逾期  
126221091,自动1  
126221115,零逾期  
126221538,自动1  
126221727,自动1  
126221756,自动1  
126221914,零逾期  
126222309,零逾期  
126222311,自动1  
126222374,零逾期  
126222661,零逾期  
126222638,自动1  
126222753,自动1  
126223003,女标   
126223012,自动1  
126223015,零逾期  
126223612,自动1  
126223777,自动1  
126223830,零逾期  
126224159,低逾期 
126224289,低逾期 
126224384,自动1  
126224912,自动1  
126225060,零逾期  
126225106,女标   
126225114,女标   
126225167,零逾期  
126225687,低逾期 
126225742,零逾期  
126225808,零逾期  
126225839,自动1  
126225973,自动1  
126226055,低逾期 
126226072,女标   
126226382,零逾期  
126226652,自动1  
126226795,低逾期 
126226798,零逾期  
126227021,零逾期  
126227230,零逾期  
126227279,自动1  
126227635,零逾期  
126227845,低逾期 
126228043,自动1  
126228116,自动1  
126228157,零逾期  
126229074,女标   
126229263,自动1  
126229419,女标   
126229337,零逾期  
126229440,自动1  
126229492,零逾期  
126229498,零逾期  
126229571,零逾期  
126229837,自动1  
126229844,女标   
126229869,自动1  
126229955,自动1  
126230014,自动1  
126230213,自动1  
126230278,女标   
126230723,自动1  
126230878,零逾期  
126230905,零逾期  
126231207,零逾期  
126249985,低逾期 
126248735,低逾期 
126250648,低逾期 
126251217,自动1  
126251366,零逾期  
126251606,零逾期  
126251613,自动1  
126251770,自动1  
126251891,零逾期  
126251911,自动1  
126252109,零逾期  
126252290,自动1  
126252351,自动1  
126252644,低逾期 
126252664,低逾期 
126252781,零逾期  
126252791,女标   
126252884,自动1  
126253313,自动1  
126254157,零逾期  
126254158,自动1  
126254212,自动1  
126254333,自动1  
126254400,零逾期  
126254792,低逾期 
126255158,自动1  
126255201,零逾期  
126255242,零逾期  
126255334,自动1  
126255371,女标   
126255398,自动1  
126255376,零逾期  
126255526,自动1  
126255565,女标   
126255667,零逾期  
126255673,女标   
126256037,零逾期  
126256502,零逾期  
126256666,自动1  
126256714,零逾期  
126257214,自动1  
126257544,零逾期  
126257639,零逾期  
126257700,零逾期  
126260313,低逾期 
126261485,零逾期  
126262022,零逾期  
126262104,自动1  
126262473,自动1  
126262523,女标   
126262640,自动1  
126262940,低逾期 
126263281,自动1  
126263631,女标   
126263667,女标   
126263938,零逾期  
126264794,零逾期  
126264987,自动1  
126265283,女标   
126265284,零逾期  
126265299,自动1  
126265385,零逾期  
126265532,零逾期  
126265544,女标   
126265955,自动1  
126266296,自动1  
126266719,零逾期  
126266950,零逾期  
126267249,零逾期  
126267789,女标   
