CreditCode,DebtdealId,ListingId,OwingNumber,PriceforSale,PriceforSaleRate
B,118733220,96517344,6,53.2,26.1
B,118733201,120883905,11,46.52,20.5
B,118733130,119136928,11,103.27,20.0
B,118733129,107386628,8,76.65,22.1
B,118733128,109306619,8,90.62,22.0
B,118733127,102013094,7,86.35,22.0
B,118733048,113464777,3,25.78,22.0
B,118733047,109757627,8,34.53,22.0
B,118732840,106030241,8,34.81,24.0
B,118732839,121861560,11,46.0,22.0
B,118732838,106141832,7,30.15,24.0
B,118732837,123337973,11,45.67,22.0
B,118732834,119312242,11,46.52,22.0
B,118732832,107807176,8,34.56,24.0
B,118732831,107376168,8,34.61,24.0
B,118732830,107477771,8,34.61,24.0
B,118732766,102537341,7,30.77,22.0
B,118732765,108620927,8,34.69,22.0
B,118732764,99850305,6,105.86,22.0
B,118732763,99851373,6,105.85,22.0
B,118732557,109874678,9,38.81,25.02
B,118732554,100893259,7,30.79,25.02
B,118732553,105101163,8,34.84,25.02
B,118732552,100871593,7,30.79,25.02
B,118732551,96568087,6,47.98,25.02
B,118732548,109866876,9,38.81,25.02
B,118732540,119140565,11,46.38,23.02
B,118732539,100990911,7,30.79,25.02
B,118732535,109866764,9,38.81,25.02
B,118732463,96517665,6,26.83,22.0
B,118732462,96510089,6,26.83,22.0
B,118732461,80277828,3,13.54,18.0
B,118732458,85720652,4,17.91,18.0
B,118732393,118884369,4,33.9,20.0
B,118732392,116718286,4,34.13,20.0
B,118732391,110853268,9,39.02,22.0
B,118732390,110481176,3,26.04,22.0
B,118732389,104104963,7,30.57,22.0
B,118732354,110773907,9,39.02,22.0
B,118732353,110788809,9,39.02,22.0
B,118732348,110791978,9,39.02,22.0
B,118732347,110772208,9,39.02,22.0
B,118732345,110801823,9,39.02,22.0
B,118732280,110758342,9,78.05,22.0
B,118732279,119684891,5,42.57,20.0
B,118732277,119417620,5,42.63,20.0
B,118732275,110689715,9,78.08,22.0
B,118732266,110707126,3,52.08,22.0
B,118732262,104057117,7,61.14,22.0
B,118732258,104067278,7,61.14,22.0
